listing_id,date
15328797,2018-01-29
15328797,2018-02-09
15328797,2018-02-11
15328797,2018-02-27
15328797,2018-03-04
15328797,2018-03-06
15328797,2018-03-10
15328797,2018-03-12
15328797,2018-03-16
15328797,2018-03-19
15328797,2018-03-26
15328797,2018-03-29
15328797,2018-04-02
15328797,2018-04-05
15328797,2018-04-07
15328797,2018-04-11
15328797,2018-04-14
15522012,2016-10-22
15522012,2016-10-30
15522012,2016-11-06
15522012,2016-11-13
15522012,2016-11-20
15522012,2016-11-26
15522012,2016-12-10
15522012,2016-12-30
15522012,2017-01-01
15522012,2017-01-22
15522012,2017-01-28
15522012,2017-02-05
15522012,2017-02-12
15522012,2017-03-05
15522012,2017-03-19
15522012,2017-03-26
15522012,2017-03-28
15522012,2017-03-28
15522012,2017-03-29
15522012,2017-04-07
15522012,2017-04-09
15522012,2017-04-16
15522012,2017-04-20
15522012,2017-04-22
15522012,2017-04-30
15522012,2017-05-02
15522012,2017-05-07
15522012,2017-05-14
15522012,2017-06-18
15522012,2017-07-25
15522012,2017-12-28
15522012,2018-01-01
15522012,2018-03-25
15522012,2018-03-27
15522012,2018-03-29
15522012,2018-04-02
15522012,2018-04-04
15522012,2018-04-06
15649395,2016-12-22
15649395,2017-01-02
15649395,2017-04-13
15649395,2017-05-21
15649395,2017-05-23
15649395,2017-05-29
15649395,2017-06-18
15649395,2017-09-04
15649395,2018-01-05
15649395,2018-01-15
15649395,2018-01-27
15775735,2016-11-24
15775735,2016-12-20
15775735,2016-12-24
15775735,2016-12-26
15775735,2016-12-28
15775735,2017-01-06
15775735,2017-01-15
15775735,2017-01-17
15775735,2017-01-21
15775735,2017-01-30
15775735,2017-02-05
15775735,2017-02-12
15775735,2017-02-24
15775735,2017-02-26
15775735,2017-03-05
15775735,2017-03-14
15775735,2017-03-18
15775735,2017-03-26
15775735,2017-03-28
15775735,2017-04-01
15775735,2017-04-03
15775735,2017-04-07
15775735,2017-04-11
15775735,2017-04-15
15775735,2017-04-23
15775735,2017-05-02
15775735,2017-05-09
15775735,2017-05-14
15775735,2017-05-17
15775735,2017-05-19
15775735,2017-05-27
15775735,2017-06-04
15775735,2017-06-07
15775735,2017-06-10
15775735,2017-06-13
15775735,2017-06-16
15775735,2017-06-20
15775735,2017-06-22
15775735,2017-06-26
15775735,2017-07-02
15775735,2017-07-04
15775735,2017-07-07
15775735,2017-07-17
15775735,2017-07-24
15775735,2017-07-26
15775735,2017-07-29
15775735,2017-08-04
15775735,2017-08-13
15775735,2017-08-21
15775735,2017-08-23
15775735,2017-09-10
15775735,2017-09-14
15775735,2017-09-22
15775735,2017-09-24
15775735,2017-09-30
15775735,2017-10-02
15775735,2017-10-04
15775735,2017-10-07
15775735,2017-10-12
15775735,2017-10-15
15775735,2017-10-23
15775735,2017-10-29
15775735,2017-11-26
15775735,2017-12-03
15775735,2017-12-14
15775735,2017-12-20
15775735,2017-12-27
15775735,2018-01-03
15775735,2018-01-07
15775735,2018-01-15
15775735,2018-01-21
15775735,2018-01-25
15775735,2018-01-27
15775735,2018-02-04
15775735,2018-02-10
15775735,2018-02-18
15775735,2018-02-24
15775735,2018-03-12
15775735,2018-03-14
15775735,2018-03-24
15775735,2018-03-29
15775735,2018-04-01
15775735,2018-04-07
15775735,2018-04-11
15775735,2018-04-15
15857785,2016-11-26
15857785,2016-12-03
15857785,2016-12-29
15857785,2017-01-01
15857785,2017-01-05
15857785,2017-01-16
15857785,2017-01-21
15857785,2017-01-22
15857785,2017-02-13
15857785,2017-02-18
15857785,2017-02-21
15857785,2017-03-07
15857785,2017-03-11
15857785,2017-03-12
15857785,2017-03-18
15857785,2017-03-23
15857785,2017-03-26
15857785,2017-03-30
15857785,2017-04-01
15857785,2017-04-02
15857785,2017-04-05
15857785,2017-04-07
15857785,2017-04-08
15857785,2017-04-09
15857785,2017-04-14
15857785,2017-04-20
15857785,2017-04-23
15857785,2017-04-27
15857785,2017-05-02
15857785,2017-05-07
15857785,2017-05-08
15857785,2017-05-14
15857785,2017-05-21
15857785,2017-05-23
15857785,2017-05-27
15857785,2017-05-29
15857785,2017-06-08
15857785,2017-06-12
15857785,2017-06-15
15857785,2017-06-16
15857785,2017-06-23
15857785,2017-06-25
15857785,2017-06-28
15857785,2017-06-30
15857785,2017-07-02
15857785,2017-07-04
15857785,2017-07-06
15857785,2017-07-07
15857785,2017-07-08
15857785,2017-07-09
15857785,2017-07-11
15857785,2017-07-13
15857785,2017-07-14
15857785,2017-07-16
15857785,2017-07-17
15857785,2017-07-25
15857785,2017-07-26
15857785,2017-07-27
15857785,2017-08-02
15857785,2017-08-04
15857785,2017-08-07
15857785,2017-08-16
15857785,2017-08-18
15857785,2017-08-22
15857785,2017-08-23
15857785,2017-08-25
15857785,2017-08-26
15857785,2017-08-27
15857785,2017-09-02
15857785,2017-09-04
15857785,2017-09-05
15857785,2017-09-09
15857785,2017-09-10
15857785,2017-09-17
15857785,2017-09-18
15857785,2017-09-24
15857785,2017-09-30
15857785,2017-10-01
15857785,2017-10-08
15857785,2017-10-12
15857785,2017-10-13
15857785,2017-10-21
15857785,2017-10-22
15857785,2017-11-05
15857785,2017-11-15
15857785,2017-11-19
15857785,2017-11-21
15857785,2017-11-25
15857785,2017-11-26
15857785,2017-12-02
15857785,2017-12-10
15857785,2017-12-17
15857785,2017-12-21
15857785,2017-12-24
15857785,2017-12-25
